Text,Label,Company
"ิยินดีด้วย! คุณได้รับเงินคืนจากกองทุน 1,000,000 บาท",0,kbank
"สมัคຣสมๅชิกรับฟรีสปิuທັuที 1 เกມส์
คลิ๊ກ https://lin.ee/mYgZz0E",1,Lucky Draw/Giveaway
ลูกค้าทรูไอดี รับชมซีรีส์จีน 'เล่ห์รักวังคุนหนิง' พร้อมซับ-พากย์ไทย ครบทุกตอนที่ทรูไอดี คลิก https://ttid.co/Kupk/hOy1ykib,0,TRUE
"ประกันสุขภาพเหมาจ่าย AIA HealthSaver คุ้มครองสูงสุด 500,000 บ. ค่าเบี้ยเบาๆ เริ่มเตือนละ 575 บ. ไม่ต้องสำรองจ่าย คุ้มกว่าที่เคยเจอ สนใจดูข้อมูล คลิก! https://ct.elinks.io/W4bWAr5d",0,aia
ทรูพอยท์แลกลุ้นรวย แจกใหญ่ทอง 5 บาท เริ่ม 9 ทรูพอยท์ แลกลุ้นได้ไม่จำกัด ยิ่งส่งมากยิ่งมีสิทธิ์มาก 17 ก.ค.66 - 17 ก.ย.66 ที่ทรูไอดีคลิก https://bit.ly/30oKc8k,0,TRUE
CROWNBCR เฉพาะคุณ ทุกยอดฝากไม่ได้ถอน คืนเงินสูงสุด 10%,1,Online Gambling
สายบิวตี้ อัปความสวย ความงาม ได้ตลอดทั้งปี กับคลินิกชั้นนำ ที่คัดสรรมาแบบป้งๆ 1 ม.ค.66-31ธ.ค.66 เพิ่มเติมคลิกเลยhttps://bit.ly/3WivTps,0,Beauty Clinic
มีเงินเข้า 500 บ. กดรับ *256# โทรออก สมัครลุ้นดวงรายวัน 3บ./ขค.,1,Horoscope/VAS/Telecom
"คุณได้รับสิทธิ์สินเชื่อ SCB 90,000คลิก :https://cutt.ly/XBfBc3n",1,scb
"ขอบคุณที่ชำระค่าบริการ AIS Fibre เลขที่8802146341 จำนวน 1,170.3 บาท",0,ais
คุณได้รับเงินคืนจากการร่วมกิจกรรมของทางแอปพลิเคชัน MAKE by KBank,0,kbank
THAIS พิเศษให้คุณวันนี้เท่านั้น สมัครรับฟรี 30 https://lin.ee/7x3XSOo,1,AIS
"ติ่งซีรีส์จีนชม iQIYI VIP และPLAYFAMILYพร้อมเน็ต10GBสำหรับแอป iQIYI,AIS PLAY เตือนละ119บ.กด*777*9293# หรือคลิก m.ais.co.th/WxHxAnruB",0,ais
"Lancome Miss You! พิเศษเฉพาะคุณ รับคะแนน x3 เมื่อกลับมาช้อปสินค้าใดๆ  ภายใน01/05/2024  และรับส่วนลด 10% กรอกโค้ด""LCMISSYOU"" เฉพาะที่ lancome.co.th ช้อปเลย> bit.ly/49l5PQ1",0,Lancome
ธนาคารได้อนุมัติวงเงินของท่านแล้วติดต่อ:bit.ly/3IRA072,1,Financial/Bank
ทีมทนายมืออาชีพช่วยคุณตามเงินคืนที่ถูกฉ้อโกง ติดต่อทนาย : ool.tw,1,Lawyer Scam
พบกับของขวัญและส่วนลดสูงสุด 20%ที่อีเว้นท์ SK-Il x Maison Kitsune ได้แล้วตั้งแต่ วันที่ 23 พ.ย. - 29 พ.ย.2566 ณ ห้างสรรพสินค้าเซนทรัลลาดพร้าว,0,ais
🎊เว็บใหม่มาแรง หวานเจี๊ยบ666 แจกฟรี 100฿ คลิ๊ก!! bit.ly/wj666,1,Lucky Draw/Giveaway
เฮงปังรับต้นปีสมาชิกใหม่ 40 รับ 200 เสียคืน 10% คลิก bit.ly/N8J6W,1,Online Gambling
spclubด่วนๆตอนนี้เว็บปรับแตกได้ทุกยูสเว็บตรงมั่นคงhttps://kng.wtf/sp2,1,Online Gambling
รับส่วนลดยูนิลีเวอร์สูงสุด50% ที่ShopeeและLazada ยกเลิกSMSโทร027394000,1,shopee
รหัสยืนยันสำหรับ Rabbit ID ของคุณคือ 841450 (รหัสอ้างอิง ASVSZO ) โปรดทำรายการใน 10 นาที,0,Rabbit / BTS
ขอเชิญสนับสนุนโครงการ 'โฮมกันมาทำนา'เปิดประสบการณ์การเป็นชาวนา และได้ทานข้าวดีมีคุณภาพ เพิ่มเติมคลึก https://lin.ee/17uRc5h,0,Public Campaign
จ่ายสะดวก ปลอดภัย ไม่เสียเวลาเดินทาง สามารถชำระค่าน้ำ-ค่าไฟ ค่าบัตรเครดิต-สินเชื่อ ประกันภัย-ประกันชีวิต หรืออื่นๆผ่าน myAIS App คลิก http://m.ais.co.th/anyBillmyAIS,0,ais
